"ID","Progress","Duration..in.seconds.","Finished","RecordedDate","prolificID","age","LangChoice","Expertise","Experience.months","X1_Q38_Page.Submit","X1_Q39_Page.Submit","X1_code.recall.control","X2_Q38_Page.Submit","X2_Q39_Page.Submit","X2_code.recall.control","X3_Q38_Page.Submit","X3_Q39_Page.Submit","X3_code.recall.control","X4_Q38_Page.Submit","X4_Q39_Page.Submit","X4_code.recall.control","X5_Q38_Page.Submit","X5_Q39_Page.Submit","X5_code.recall.control","X1_Q37_Page.Submit","X1_Q40_Page.Submit","X1_Code.Recall.Exp.","X2_Q37_Page.Submit","X2_Q40_Page.Submit","X2_Code.Recall.Exp.","X3_Q37_Page.Submit","X3_Q40_Page.Submit","X3_Code.Recall.Exp.","X4_Q37_Page.Submit","X4_Q40_Page.Submit","X4_Code.Recall.Exp.","X5_Q37_Page.Submit","X5_Q40_Page.Submit","X5_Code.Recall.Exp.","codeUnderstandFree","Q50","Q52","Q54","Q56","CPSES_1","CPSES_2","CPSES_3","CPSES_4","CPSES_5","CPSES_6","CPSES_7","CPSES_8","CPSES_9","CPSES_10","CPSES_11","CPSES_12","CPSES_13","CPSES_14","CPSES_15","CPSES_16","PAS.YILDIRIM.OZDENER_1","PAS.YILDIRIM.OZDENER_2","PAS.YILDIRIM.OZDENER_3","PAS.YILDIRIM.OZDENER_4","PAS.YILDIRIM.OZDENER_5","PAS.YILDIRIM.OZDENER_6","PAS.YILDIRIM.OZDENER_7","PAS.YILDIRIM.OZDENER_8","PAS.YILDIRIM.OZDENER_9","PAS.YILDIRIM.OZDENER_10","PAS.YILDIRIM.OZDENER_11","Math.Anxiety_1","Math.Anxiety_2","Math.Anxiety_3","Math.Anxiety_4","Math.Anxiety_5","Math.Anxiety_6","Math.Anxiety_7","Math.Anxiety_8","Math.Anxiety_9","Math.Anxiety_10","Math.Anxiety_11","Math.Anxiety_12","Math.Anxiety_13","Growth.Mindset_1","Growth.Mindset_2","Growth.Mindset_3","Growth.Mindset_4","Growth.Mindset_5","Growth.Mindset_6","Growth.Mindset_7","Primary.Language","Primary.Language_8_TEXT","Education","Education_4_TEXT","Education_5_TEXT","Education_6_TEXT","Current.Title","Current.Title_14_TEXT","gender","gender_4_TEXT","race.eth","race.eth_8_TEXT","GenAiFree","AnythingElseFree","CPSES_COMP","PAS_COMP","MA_COMP","MIND_COMP","torr_1","torr_2","torr_3","torr_4","torr_sum","self_exp_num"
1,"100","1907","True","2026-05-20 15:00:24","656f97b81b51c257c08d6e51","24","Java","Closer to the average or mid-level programmer","60","120.013","180.124","public static void main(){
int number1=20
int number2=15
System.out.print(compute(number1,number2));
}
public static int compute(int number1, int number2){
int temp = number1;
while(temp!=0){
if(number1<number2){
temp=number1;
number1=number2;
number2=temp;
}
temp=number1%number2;
if(temp!=0){
number1=number2;
number2=temp;
}
}
return number2;
}","120.013","180.015","public static void main(){
int number1=20
int number2=15
System.out.print(compute(number1,number2));}
public static int compute(int number1, int number2){
int temp = number1;
while(temp!=0){
if(number1<number2){
temp=number1;
number1=number2;
}}}","120.012","180.012","public static void main(){
int number1=20
int number2=15
System.out.print(compute(number1,number2));
}
public static int compute(int number1, int number2){
int temp = number1;
while(temp!=0){
if(number1<number2){
temp=number1;
number1=number2;
number2=temp;
}
temp=number1%number2;
if(temp!=0){
number1=number2;
number2=temp;
}
}
return number2;
}","120.013","180.01","public static void main(){
int number1=20
int number2=15
System.out.print(compute(number1,number2));
}
public static int compute(int number1, int number2){
int temp = number1;
while(temp!=0){
if(number1<number2){
temp=number1;
number1=number2;
number2=temp;
}
temp=number1%number2;
if(temp!=0){
number1=number2;
number2=temp;
}
}
return number2;
}","120.017","180.015","public static void main(){
int number1=20
int number2=15
System.out.print(compute(number1,number2));
}
public static int compute(int number1, int number2){
int temp = number1;
while(temp!=0){
if(number1<number2){
temp=number1;
number1=number2;
number2=temp;
}
temp=number1%number2;
if(temp!=0){
number1=number2;
number2=temp;
}
}
return number2;
}","","","","","","","","","","","","","","","","The code is a famous algorithm which is the Euclidean algorithm used to find the gcd of two numbers.","A","D","D","A",5,6,5,5,6,5,5,4,5,5,6,6,6,6,6,6,4,3,4,4,3,4,3,3,2,3,2,3,2,2,3,3,2,3,4,6,3,4,8,4,3,3,5,3,2,3,2,"Java","","Bachelor’s degree. Please list the name of your degree(s)","","Bachelor of Engineering in Computer Science","","Software Developer/Software Engineer","","Male","","Asian","","I think it increases the productivity of developers but I feel that using it in the long run it also increases the dependency of the developer on using AI to write code.","No",5.4375,3.18181818181818,3.63636363636364,3,1,1,1,0,3,3
2,"100","3173","True","2026-05-20 15:17:21","67aa54c162dc637de018fe18","43","Python","Closer to a senior programmer or software architect","55","","","","","","","","","","","","","","","","120.01","180.008","     return number2;
 int main() { ... }
  number1=number2;
int number2= 15;
   if (number1<number2)  {
while 




","65.803","180.109","    return number2:
int main(){
               number1=number2:
int number2=15:
     if (number1<number2) {
while (temp !=","120.007","180.017","      return number2;
int main() {
              number1=number2
    int number2=15;
    if (number1< numb","120.117","180.015","      return number2:
int main() {
number1=number2:
int number2=15:
if nume","120.016","180.014","     return number2;

 int main() { ... }
 
     number1 = number2;

int number2 = 15;

     if (number1 < number2) { 
while (temp != 0) {}
 int temp = number1; 
temp = number1;
 }
int compute(int number1, int number2) {
   number2=temp;
int number1=20;
  temp
","The code I  just saw doesn’t appear to be a functional program but rather a deliberately confusing snippet meant to test memory and reasoning. It mixes valid C++ syntax with invalid structure, such as starting with return number2; outside of any function, redeclaring variables multiple times, and defining a compute() function inside main(). Conceptually, it looks like it is trying to shuffle values between number1, number2, and temp, using conditionals, a modulus operation, and even a recursive call to compute() with cout. Overall, the snippet doesn’t compile or perform a meaningful task, but it seems designed to challenge recall by forcing one to notice unusual ordering, variable shadowing, and recursion rather than to execute a real computation.","A","D","A","B",6,6,5,5,6,6,6,5,5,6,6,6,6,5,6,5,1,1,2,2,1,1,2,2,1,3,2,2,1,2,3,2,1,2,6,5,4,3,6,2,1,2,1,1,1,2,1,"Python","","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.) Please list the name of your degree(s).","","","Masters","Software Developer/Software Engineer","","Male","","Black or African American","","Generative AI in computer science classrooms and workplaces can be both empowering and disruptive: it accelerates learning and productivity by providing instant feedback, automating repetitive coding tasks, and enabling rapid prototyping, but it also risks fostering over reliance, weakening fundamental skill development, and introducing errors or insecure code if outputs are not carefully reviewed; in classrooms it challenges traditional assessment methods, while in workplaces it shifts demand away from entry level coding toward oversight and integration, meaning its overall impact depends on whether it is used as a supportive tool to enhance human expertise or as a shortcut that undermines it.","",5.625,1.63636363636364,3.18181818181818,1.28571428571429,1,1,0,0,2,4
3,"100","3205","True","2026-05-20 15:23:13","6638e8aa3d1f38846080806a","27","Python","Closer to a senior programmer or software architect","72","120.106","180.111","def main():
number1 = 20
number2 = 15

print(compute(number1, number2))

def compute(number1, number2):
temp = number1
while temp != 0:
    number1 = number2
    number2 = temp
temp = number1%number2
if temp != 0L
    number1 = number","120.008","180.111","def main():
  number1 = 20
  number2 = 15
  
  print(compute(number1, number2)
  
  def compute(number1, number2):
       temp = number1
       while temp != 0:
             if number1 < number2:
                 temp = number1
                 number1 = number2
                 number2 = temp
            temp = number1%number2
            if temp != 0
                 number1 = number2
                 number2 = temp
           return number2","120.112","180.01","def main():
   number1 = 20
   number2 = 15
   print(compute(number1, number2))
def compute(number1, number2):
   temp = number1
   while temp != 0:
      if number1 < number2:
         temp = number1
         number1 = number2
         number2 = temp
      temp = number1 % number2
      if temp != 0:
         number1 = number2
         number2 = temp
   return number2","120.11","180.008","def main():
number1 = 20
number2 = 15
print(compute(number1, number2))

def compute(number1, number2)
  temp =  number1
  while temp!=0:
    if number1 < number2:
      temp=number1
      number1 = number2
      number2 = temp
    temp = number1 % number2
    if temp != 0:
      number1 = number2
      number2 = temp
return number2","120.005","180.004","def ,main():
number1 = 20
number2 = 15
print(compute(number1, number2)

def compute(number1, number2):
    temp = number1
    while temp!= 0:
        if number1 < number2:
           temp = number1
           number1 = number2
           number2 = temp
       temp = number1 % number2
       if temp != 0:
           numb","","","","","","","","","","","","","","","","It is basically trying to make temp to reach 0 from a certain number1 value","A","D","D","C",6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,6,3,3,3,3,2,2,2,2,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,6,1,6,1,6,"Python","","Bachelor’s degree. Please list the name of your degree(s)","","Computer Engineering","","Software Developer/Software Engineer","","Male","","Hispanic or Latino,White","","It is positive as an assistant tool to be used to assist you at work","no",5.6875,2.63636363636364,6,3.14285714285714,1,1,1,1,4,4
4,"100","2204","True","2026-05-20 15:48:30","6639047d6cee07457d9c13dc","67","Python","Closer to a senior programmer or software architect","200","","","","","","","","","","","","","","","","120.017","180.047","int compute(int number1, int number2) {

    int temp;

    while (temp != 0) {

        temp = number1 % number2;
        number1 = number2;

        if (temp != 0) {
            number2 = temp;
        }
    }

    return number2;
}

int main() {

    int number1 = 20;
    int number2 = 15;

    if (number1 < number2) {

        int temp = number1;
        temp = number1;
    }

    cout << compute(number1, number2);
}","120.201","180.235","int compute(int number1, int number2) {

    int temp;

    while (temp != 0) {

        temp = number1 % number2;
        number1 = number2;
        number2 = temp;
    }

    return number2;
}

int main() {

    int number1 = 20;
    int number2 = 15;

    if (number1 < number2) {

        int temp = number1;
        temp = number1;
    }

    cout << compute(number1, number2);
}","120.032","180.075","int compute(int number1, int number2) {

    int temp;

    while (temp != 0) {
        temp = number1 % number2;
        number1 = number2;
    }

    return number2;

int main() {

    int number1 = 20;
    int number2 = 15;

    if (number1 < number2) {

        int temp = number1;
        temp = number1;

    }

    cout << compute(number1, number2);

    number2 = temp;
}","120.18","180.198","int compute(int number1, int number2) {

    int temp;

    while (temp != 0) {

        temp = number1 % number2;
        number1 = number2;
        number2 = temp;
    }

    return number2;
}

int main() {

    int number1 = 20;
    int number2 = 15;

    if (number1 < number2) {

        int temp = number1;
        temp = number1;
    }

    cout << compute(number1, number2);

}","120.189","180.092","int compute(int number1, int number2) {
    int temp;

    while (temp != 0) {
        temp = number1 % number2;
        number1 = number2;
        number2 = temp;
    }

    return number2;
}

int main() {
    int number1 = 20;
    int number2 = 15;

    if (number1 < number2) {
        int temp = number1;
        temp = number1;
    }

    cout << compute(number1, number2);
}","The code was basically comparing two numbers using a loop and remainders until it found the final answer, then printed it out.","A","A","D","B",6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,3,1,1,1,1,1,1,1,1,1,1,"Python","","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.) Please list the name of your degree(s).","","","","Software Developer/Software Engineer","","Female","","Black or African American","","It helps programmers by speeding up coding, debugging, and learning. The downside is that people can become too dependent on it and sometimes trust incorrect code without checking it.","The study went smoothly. ",5.875,1,1.54545454545455,1,1,0,1,0,2,4
5,"100","1331","True","2026-05-20 16:41:23","5f919274b5383b00096b0295","33","Python","Closer to the average or mid-level programmer","80","16.953","50.889","def main():
number1=20
number2=15
print(compute(number1,number2)
def(compute(number1,number2):
temp=number1
while temp!=0
if number1<number2:
temp=number1
number1=number2
number2=temp
temp=number1% number2
if temp!=0:
number1=number2
number2=temp
return number2","26.841","141.566","def main():
number1=20
number2=15
print(compute(number1,number2)
temp=number1
while temp!=0
if number1>number2:
temp=number1
number1=number2
number2=temp","18.422","118.727","def main():
number1=20
number2=15
print(compute(number1,number2)
temp=number1
while temp!=0
if number1<number2:
temp=number1
number1=number2
number2=temp
temp=number1% number2
if temp!=0:
number1=number2
number2=temp
return number2","120.013","180.018","def main():
number1=20
number2=15
print(compute(number1,number2)
def compute(number1,number2):
while temp=0

","17.572","30.588","def main():
number1=20
number2=15
print(compute(number1,number2)
def compute(number1,number2):
temp=number1
while temp!=0
if number1<number2:
temp=number1
number1=number2
number2=temp
temp=number1% number2
if temp!=0:
number1=number2
number2=temp
return number2","","","","","","","","","","","","","","","","there are 2 values number1 and number 2. Temp temporaryly keep the numbers and check while they are =0 or not and give conditions accordingly and print ","A","C","D","A",6,6,6,6,6,5,6,5,2,5,5,5,6,5,5,6,4,4,5,4,4,3,3,4,4,3,3,4,2,4,3,4,4,4,3,2,5,4,5,4,4,3,3,2,2,4,4,"Python","","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.) Please list the name of your degree(s).","","","msc and phd","Software Team Lead or Manager","","Female","","Middle Eastern or North African","","I think it is good if you use in a rigth way but it is challenging to define what the right way is. Student can learn via the AI feedback for their codes or anything they are not sure or struggle so it is like their best friend to help","",5.3125,3.72727272727273,3.63636363636364,3.14285714285714,1,0,1,0,2,3
6,"100","1817","True","2026-05-20 16:44:16","5d5575339025920017fd271f","24","Python","Closer to the average or mid-level programmer","50","120.939","183.956","def main():
    number1 = 20
    number2 = 15
    print(compute(number1, number2))

def compute(number1, number2):
    temp = number1
    while temp != 0:
        if number1 < number2:
             temp = number1
              number1 = number2
             number2 = temp

        temp = number1 % number2

          if temp != 0:
             number1 = number2
             number2 = temp

    return number2","120.031","180.037","def main():
     number1 = 20
     number2 = 15
     compute(number1, number2)

def compute(number1, number2):
     temp = number1
     while temp != 0:
          if number2 > number1:
                temp = number2
                number2 = number1
           if temp !=
","81.498","83.346","def main():
    number1 = 20
    number2 = 15
    print(compute(number1, number2))

def compute(number1, number2):
     temp = number1
    while temp != 0:
        if number1 < number2:
            temp = number1
             number1 = number2
             number2 = temp

        temp = number1 % number2

        if temp != 0:
             number1 = number2
             number2 = temp

    return number2","120.019","180.117","def main():
    number1 = 20
    number2 = 15
    print(compute(number1, number2))

def compute(number1, number2):
    temp = number1
      while temp != 0:
         if number1 < number2:
            temp = number2
            number2 = number1
            number1 = temp

        temp = number1 / number2

        if temp != 0:
            number1 = number2
            number2 = temp

    r eturn number2","61.203","79.993","def main():
    number1 = 20
    number2 = 15
    print(compute(number1, number2))

def compute(number1, number2):
    temp = number1
    while temp != 0:
        if number1 < number2:
            temp = number1
            number1 = number2
            number2 = temp
       temp = number1 % number2

        if temp != 0:

              number1 = number2
              number2 = temp
   
    return number2","","","","","","","","","","","","","","","","It gets the greatest commin diviser between number 1 and 2","A","A","D","B",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,5,5,4,4,4,4,3,4,2,4,5,7,7,6,6,9,10,8,8,8,8,4,4,3,4,3,4,3,4,"Python","","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.) Please list the name of your degree(s).","","","","Other","Data Scientist","Male","","White","","I think it can have both positive and negative impacts, depends on how you use and if you have a good basis or not","",6,3.90909090909091,7.45454545454545,3.57142857142857,1,0,1,0,2,3
7,"100","1827","True","2026-05-20 17:24:39","660ab9e08c0887009e1f435a","31","Python","Closer to the average or mid-level programmer","72","","","","","","","","","","","","","","","","102.024","55.137","If temp != 0:
   number 1 = number2;
else
   Number2=temp","18.975","37.648","Return number2;

Int main {
Number1=number2
Int number2=15
If (number1<number2){
}
While (temp != 0){

}
If (temp!=0){
}
Number2 = temp
}","23.5","109.678","Return number2;
Return number2;

Int main {
Number1=number2
While (temp != 0){

}

Number2 = temp 
}","15.95","49.088","Return number2;

Int main {
Number1=number2
Int number1=15
While (temp != 0){

}
If (temp!=){
}
Number2 = temp
}","67.248","35.496","Int main {
Number2 = temp 
Return number2
}","Nothing. Just ballshit. Firstly, it won't run because there is so many logic erros. In final, number2=temp. And return number2. If it was work, probably just would return temp value, inside number2","A","D","D","C",5,6,5,5,5,5,4,5,3,4,5,6,6,4,5,4,4,4,5,5,4,4,4,5,5,5,3,9,1,3,6,1,6,1,10,7,10,8,9,5,2,1,2,1,1,3,1,"Python","","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.) Please list the name of your degree(s).","","","Computer Science","Other","Data Scientist ","Male","","Hispanic or Latino","","In négative way if you don't study or analyze what AI propose. You MUST to review","",4.8125,4.36363636363636,5.63636363636364,1.57142857142857,1,1,1,1,4,3
8,"100","4480","True","2026-05-20 17:38:05","66ad6f2765f2ef7122225388","62","Python","Closer to a senior programmer or software architect","240","","","","","","","","","","","","","","","","29.796","180.012","return number2;
int main (){
   number1 = number2;
  number2 = 15;

   if (number1<number2) {
      while(temp !=0) {}

     int number1 = temp;
         number1 = temp;
}
}

int compute(int number1, int number2){
     number2 = number1;
    number1 = 20;

}

if(temp !=0) {
  number2 = temp;

}","120.133","180.013","return number2;
int main() {
number1 = number2;
int number2 = 0;
if(number1 == number2) {
temp1 = number2;
}
temp1 = number1;
number2 = temp1;
}

int compute(temp1, number2)
{

while(){
}
}

if(temp1=number2){

}","120.029","180.02","return number2;
int main() {
 number1 = number2;
  if(number1 == number2){
     while(number2==0){
  }
    int temp = number1;
         temp = number1;
  }
}

int compute(int number1, int number2)
{
    int temp = number2;
    
    cout << number1 + number2;
}

if()
{
}","120.021","180.017","return number2;
int main() {
   number2 = number1;
number1 = 15;
   if(number1 < number2) {
      while(temp!=0)
      {
         number2 = temp;
       }
}
}

int compute(int number1, int number2)
{
  number2 = temp;
  int number1 = 20;
  if (number1 < number2){
       temp = number2;
      cout << compute(number1, number2);
}
}

if(temp == number2)
{
}
}","52.979","180.02","return number2
int main() {
   number2 = number1;
   number1 = 15;
   if(number1 < number2){
     while(temp!=0) {}
}
   temp = number1;
}
}

int compute(number1, number2){
   number1 = temp;
   number2 = 20;

   temp = number1 % number2


}

if(temp < number2){
 number2 = temp;
}","If the code was entering from the top as I believe it was, it would simply return the value of 2.  I think that's how python would execute it. If it were java of a C type language it might hit the main function first, but that return at the top of the code, I think, would return a compile error.","A","D","D","C",6,6,5,5,6,6,4,5,6,6,6,6,6,6,6,6,2,2,3,3,2,3,3,3,2,3,1,5,4,3,3,2,2,3,6,6,7,3,7,3,2,2,3,2,3,3,3,"C#","","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.) Please list the name of your degree(s).","","","MA Computer Science","Application Developer","","Male","","White","","I think AI probably should be more at the 400/500 level with some early intro classes.  I think students should be given the core understanding of learning the basics of coding like I did.  Then later add AI.  I think AI may benefit in some ways but from what I am reading it seems to be a nightmare the way it's being handled (ie. management that doesn't know how to code, tells the coders to use AI at a level that makes no sense.  Then management cuts labor expecting those that are left to do the work of ten coders with AI. )  Management truly is the problem in many work situations, not just software development.","",5.6875,2.45454545454545,4.18181818181818,2.57142857142857,1,1,1,1,4,4
9,"100","1722","True","2026-05-20 18:13:07","6889228646f6720dc62d58ed","28","Python","Closer to a senior programmer or software architect","108","","","","","","","","","","","","","","","","49.874","96.847","Return Number2;
Int main() {
 number 1 = number2;
 Int number2 = 15;
If (number1 < number) {
While (temp!=0){
}
Int temp = number1;
Temp = number1;
} 
Int compute(int number 1, int number2) {
} 
} ","45.283","127.096","Return Number2;
Int main() {
 Int number 1 = number2;
 Int number2 = 15;
If (number1 < number) {
While (temp!=0){
}
} 
} ","40.446","56.278","Return Number2;
Int main() {
 number 1 = number2;
 Int number2 = 15;
If (number1 < number) {
While (temp!=0){
}
Int temp = number1;
Temp = number1;
} 
Int compute(int number 1, int number2) {
Number2=temp;
Number1=20;
Int num = number1 % number2;
} 
} ","85.97","105.624","Return number2;
Int main(){
Number1 = number2;
Number2 = 15;
While temp >0 {
Temp = nunber1
} 
} ","18.944","133.6","return number2;
int main() {
 number 1 = number2;
 int number2 = 15;
If (number1 < number2) {
while (temp!=0){
}
Int temp = number1;
} 
Int compute(int number 1, int number2) {
Number1=number2;
Number2=20;
Temp = number1 % number2;
COut >> (number1, number) 
} 
} ","It was trying to calculate and output a temperature. But it had redundant lines of code and redundant loops. ","A","D","D","A",5,6,4,3,4,5,3,4,5,5,6,6,6,6,6,6,4,4,5,2,2,2,3,4,2,3,1,6,6,2,7,2,8,6,7,9,6,6,6,7,6,4,4,4,4,5,4,"C#","","Bachelor’s degree. Please list the name of your degree(s)","","Bachelor of software engineering with honours","","Software Developer/Software Engineer","","Male","","White","","It is a way to get instant feedback on programs. However, it removes the problem solving aspect when solving problems, as often what it spits out is taken as the best solution. Developers won't use documentation and instead just depend on ai without understanding what it's writing. ","",5,2.90909090909091,5.90909090909091,4.42857142857143,1,1,1,0,3,4
10,"100","1485","True","2026-05-20 18:15:55","5e5074ea55087a0cc7dbc163","24","Python","Closer to someone in their first programming job (Entry-Level)","54","44.552","100.276","def main():
 number1 = 20
 number2 = 15
 print(compute(number1, number2))
def compute(number1, number2):
 temp = number1
 while temp != 0:
  if number1 < number2:
   temp = number1
   number1 = number2
   number2 = temp
  temp = number1 % number2
  if temp != 0:
   number1 = number2
   number2 = temp
 return number2","120.107","156.789","def main():
 number1 = 15
 number2 = 20
 print(compute(number1, number2))
def compute(number1, number2)
 temp = number1
 while temp != 0:
  if number1 < number2:
   temp = number1
   number1 = number2
   number2 = temp
  temp = number1 % number2
  if temp != 0:
   
 return number2","25.232","91.831","def main():
 number1 = 20
 number2 = 15
 print(compute(number1, number2)
def compute(number1, number2):
 temp = number1
 while temp != 0:
  if number1 < number2:
   temp = number1
   number1 = number2
   number2 = temp
  temp = number1 % number2
  if temp != 0:
   number1 = number2
   number2 = temp
 return number2","24.189","89.969","def main():
 number1 = 20
 number2 = 15
 print(compute(number1, number2))
def compute(number1, number2):
 temp = number1
 while temp != 0:
  if number1 < number2:
   temp = number1
   number1 = number2
   number2 = temp
  temp = number1 % number2
  if temp != 0:
   number1 = number2
   number2 = temp
 return number2","34.441","139.574","def main():
 number1 = 20
 number2 = 15
 print(compute(number1, number2))
def compute(number1, number2):
 temp = number1
 while temp != 0:
  if number1 < number2:
   temp = number1
   number1 = number2
   number2 = temp
  temp = number1 % number2
  if temp != 0:
   number2 = number1
   number1 = temp
 return number2","","","","","","","","","","","","","","","","It searches for a number that can divide both numbers and leave no rest","A","C","D","A",5,5,4,4,5,5,5,4,3,5,6,6,4,5,5,5,4,4,5,4,3,3,3,2,2,1,2,3,1,2,1,4,2,3,6,7,8,2,6,4,3,3,4,3,5,3,3,"Python","","Bachelor’s degree. Please list the name of your degree(s)","","Computer Science","","Software Developer/Software Engineer","","Male","","White","","I think the use of some AI is really beneficial for efficiency and speed but an over reliance on it causes atrophy of skills. Especially only using AI for everything causes problems that also include clutter in code.","",4.75,3,3.81818181818182,3.42857142857143,1,0,1,0,2,2
